"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV83"	"nb_seq"	"nb_seq"	"nb_seq"	0.805420951043715	0	0.255993368632243	0.0016537456874584	0.0689234324702152	0.00330475650011802	0.111260135503973	NA	"prevalence"	185	26
"ASV1027"	"nb_seq"	"nb_seq"	"nb_seq"	1.1720505724369	0	0.374315783734907	0.00174104657185052	0.0703462557618687	0.00347906190053569	0.112945259556676	NA	"prevalence"	185	8
"ASV477"	"nb_seq"	"nb_seq"	"nb_seq"	1.06155767556939	0	0.338574111913123	0.00171633053579941	0.0703462557618687	0.00342971528109071	0.112945259556676	NA	"prevalence"	185	12
"ASV541"	"nb_seq"	"nb_seq"	"nb_seq"	1.1720505724369	0	0.374315783734907	0.00174104657185052	0.0703462557618687	0.00347906190053569	0.112945259556676	NA	"prevalence"	185	7
"ASV962"	"nb_seq"	"nb_seq"	"nb_seq"	1.1720505724369	0	0.374315783734907	0.00174104657185052	0.0703462557618687	0.00347906190053569	0.112945259556676	NA	"prevalence"	185	8
"ASV472"	"nb_seq"	"nb_seq"	"nb_seq"	0.730193953288651	0	0.235395356883625	0.00192224699473297	0.0764996491964029	0.00384079895595717	0.122501271963687	NA	"prevalence"	185	33
"ASV935"	"nb_seq"	"nb_seq"	"nb_seq"	1.02100160644784	0	0.329142766387092	0.00192216488446861	0.0764996491964029	0.00384063505109414	0.122501271963687	NA	"prevalence"	185	12
"ASV1254"	"nb_seq"	"nb_seq"	"nb_seq"	0.771265929793065	0	0.24913272548786	0.00196280477486731	0.0775307886072589	0.00392175694715039	0.123995723998598	NA	"prevalence"	185	18
"ASV1293"	"nb_seq"	"nb_seq"	"nb_seq"	0.931565601687421	0	0.301322086863236	0.00199084835652306	0.0780560026005673	0.00397773323586746	0.12468136246219	NA	"prevalence"	185	14
"ASV443"	"nb_seq"	"nb_seq"	"nb_seq"	0.838014029182028	0	0.271662736133771	0.00203717254981894	0.0792849581337621	0.00407019502764014	0.126489137782048	NA	"prevalence"	185	17
"ASV463"	"nb_seq"	"nb_seq"	"nb_seq"	-3.43330262865517	-1.24755702628068	0.549022438199956	0.00207380292366477	0.0801214516420265	0.00414330518876334	0.12766998022325	NA	"abundance"	185	22
"ASV187"	"nb_seq"	"nb_seq"	"nb_seq"	1.1414828499808	-1.24755702628068	0.672035895498421	0.00210878109986679	0.0808824518956152	3.94810007138406e-07	0.000478509728651748	NA	"abundance"	185	43
"ASV1284"	"nb_seq"	"nb_seq"	"nb_seq"	1.20885790153928	0	0.39425612333022	0.0021681705015934	0.0825620608988049	0.00433164003986282	0.130631425407102	NA	"prevalence"	185	7
"ASV919"	"nb_seq"	"nb_seq"	"nb_seq"	0.778051525945104	0	0.254576615403321	0.00224119172450218	0.084132112041064	0.00447736050865838	0.131287764592596	NA	"prevalence"	185	28
"ASV936"	"nb_seq"	"nb_seq"	"nb_seq"	1.11343527524599	0	0.364297368233568	0.00224018755630753	0.084132112041064	0.00447535667232763	0.131287764592596	NA	"prevalence"	185	13
"ASV1359"	"nb_seq"	"nb_seq"	"nb_seq"	1.03380095637803	0	0.339194255867319	0.00230512660450241	0.084729410539106	0.00460493960034204	0.131839058164123	NA	"prevalence"	185	13
"ASV214"	"nb_seq"	"nb_seq"	"nb_seq"	0.857055191098449	0	0.281094289287604	0.00229608007986724	0.084729410539106	0.00458688817600132	0.131839058164123	NA	"prevalence"	185	23
"ASV34"	"nb_seq"	"nb_seq"	"nb_seq"	0.656867111695947	0	0.215448744990888	0.00229732616768243	0.084729410539106	0.00458937462784415	0.131839058164123	NA	"prevalence"	185	45
"ASV126"	"nb_seq"	"nb_seq"	"nb_seq"	0.710671664328556	0	0.234034180059791	0.00239250951877577	0.0873348474681389	0.0047792949357541	0.135761846768765	NA	"prevalence"	185	35
"ASV132"	"nb_seq"	"nb_seq"	"nb_seq"	0.78888203321289	0	0.261309571178017	0.00253647573523799	0.0919559319631141	0.00506651776132052	0.141958863303227	NA	"prevalence"	185	20
"ASV1110"	"nb_seq"	"nb_seq"	"nb_seq"	0.812269683072575	0	0.269750295909039	0.00260225045748414	0.0930656194017807	0.0051977292075248	0.141958863303227	NA	"prevalence"	185	16
"ASV478"	"nb_seq"	"nb_seq"	"nb_seq"	1.28690997719828	0	0.427235168767892	0.00259377252159445	0.0930656194017807	0.00518081738729512	0.141958863303227	NA	"prevalence"	185	8
"ASV1139"	"nb_seq"	"nb_seq"	"nb_seq"	0.913526988438252	0	0.303805472875336	0.00263885671995414	0.093116457458115	0.00527074987511983	0.141958863303227	NA	"prevalence"	185	13
"ASV756"	"nb_seq"	"nb_seq"	"nb_seq"	0.719520855054784	0	0.23915258001618	0.00262431288313071	0.093116457458115	0.00524173874815284	0.141958863303227	NA	"prevalence"	185	29
"ASV1483"	"nb_seq"	"nb_seq"	"nb_seq"	1.00473307403118	0	0.336592121210042	0.00283562921757945	0.0993972546268083	0.00566321764209932	0.151407789313773	NA	"prevalence"	185	16
"ASV52"	"nb_seq"	"nb_seq"	"nb_seq"	0.656644633162607	0	0.221313656565046	0.00300689962130892	0.104707366418343	0.00600475779728521	0.159367148546927	NA	"prevalence"	185	29
"ASV1177"	"nb_seq"	"nb_seq"	"nb_seq"	1.46605618019155	0	0.494896576829007	0.00305301915637414	0.105512526636226	0.00305301915637414	0.106047874765085	NA	"prevalence"	185	8
"ASV1428"	"nb_seq"	"nb_seq"	"nb_seq"	0.787472907417512	0	0.265997770096082	0.00307190696890527	0.105512526636226	0.00613437732538493	0.159892992135531	NA	"prevalence"	185	18
